x,y
66.9767,23.2723
84.3349,25.0015
17.7148,30.1365
55.2361,90.5133
81.61,20.2624
53.4745,34.1605
97.9452,32.1682
76.622,35.796
18.2907,44.9114
65.125,13.2053
80.3827,36.3294
29.1618,95.6221
42.3332,38.8462
59.6051,22.4835
58.2139,43.6783
71.8168,30.7374
49.4639,48.6363
50.287,47.8235
93.3679,44.1033
43.9145,82.6364
71.4144,84.757
16.713,63.4927
8.6171,21.1409
9.2022,53.0115
23.3819,3.6606
23.1739,5.4207
49.1743,2.1378
39.9066,71.315
16.5774,79.6019
27.256,58.7084
95.2023,40.1755
68.4369,36.6807
93.7385,66.7089
4.0333,16.9716
80.7788,74.7798
22.4418,77.6369
27.8319,92.8674
36.3662,45.5834
81.0298,92.8831
45.9836,45.4869
14.1316,80.1022
96.5054,12.0456
39.511,14.9013
87.5907,63.5362
25.8729,12.692
20.0906,4.6919
33.8492,35.9615
61.235,48.9062
22.8683,97.1518
60.637,12.4968
44.6908,1.0818
14.4924,38.5161
18.3546,20.2437
57.4635,42.8788
44.2065,20.4492
87.1405,57.0651
31.3659,11.5002
75.2653,32.1151
58.7475,39.4417
24.8115,24.735
81.4378,69.4878
87.9639,20.2738
15.0888,85.2919
13.2269,85.4208
94.9446,56.9829
77.9862,94.3841
77.0302,16.7126
14.0042,77.1343
28.1793,85.613
55.6716,28.5727
22.3264,37.8096
1.8808,26.9995
92.8492,25.482
15.8188,9.1637
93.9821,11.6073
96.0172,38.4873
43.7529,31.4005
97.0075,86.7634
68.9543,8.9708
81.5702,32.3443
21.6135,37.904
18.0865,50.2915
24.2039,69.4678
33.2624,12.86
19.0302,16.8573
44.0228,46.3074
32.0349,53.9884
80.6213,46.4182
11.8506,61.2428
14.4502,68.6509
85.302,66.2286
17.7566,15.8369
19.6814,56.0538
7.412,22.7697
4.3418,71.2166
68.6203,14.2332
2.1382,22.2739
84.5009,53.0679
83.1474,17.7854
5.6286,79.0664
